,drive_id,offense,defense,drive_number,start_period,start_time_min,start_time_sec,start_yardline,start_ytg,drive_result,end_period,end_time_min,end_time_sec,end_yardline,end_ytg,num_plays,score,yards_gained,game_id
14304,40101503719,Charlotte,Marshall,19,3,0,37,75,75,PUNT,4,12,3,59,59,6,False,16,401015037
14305,40101503720,Marshall,Charlotte,20,4,12,3,34,66,PUNT,4,9,35,43,57,3,False,9,401015037
14306,40101503721,Charlotte,Marshall,21,4,9,35,88,88,PUNT,4,7,37,82,82,3,False,6,401015037
14307,40101503722,Marshall,Charlotte,22,4,7,37,38,62,PUNT,4,4,17,41,59,5,False,3,401015037
14308,40101503723,Charlotte,Marshall,23,4,4,17,75,75,PUNT,4,2,27,79,79,3,False,-4,401015037
14309,40101503724,Marshall,Charlotte,24,4,2,27,31,69,END OF GAME,4,0,0,37,63,4,False,6,401015037
14310,4010150381,UT San Antonio,Florida International,1,1,15,0,15,85,INT,1,14,17,22,78,2,False,7,401015038
14311,4010150382,Florida International,UT San Antonio,2,1,14,17,25,25,MISSED FG,1,12,13,16,16,4,False,9,401015038
14312,4010150383,UT San Antonio,Florida International,3,1,12,13,20,80,PUNT,1,10,16,26,74,3,False,6,401015038
14313,4010150384,Florida International,UT San Antonio,4,1,10,16,71,71,PUNT,1,8,41,70,70,3,False,1,401015038
14314,4010150385,UT San Antonio,Florida International,5,1,8,41,8,92,MISSED FG,1,4,4,70,30,10,False,62,401015038
14315,4010150386,Florida International,UT San Antonio,6,1,4,4,70,70,TD,2,13,50,0,0,12,True,70,401015038
14316,4010150387,UT San Antonio,Florida International,7,2,13,50,25,75,PUNT,2,12,25,19,81,3,False,-6,401015038
14317,4010150388,Florida International,UT San Antonio,8,2,12,25,63,63,TD,2,7,28,0,0,12,True,63,401015038
14318,4010150389,UT San Antonio,Florida International,9,2,7,28,25,75,PUNT,2,0,0,45,55,6,False,20,401015038
14319,40101503810,Florida International,UT San Antonio,10,2,3,38,89,89,FG,2,0,0,6,6,11,True,83,401015038
14320,40101503811,Florida International,UT San Antonio,11,3,15,0,75,75,PUNT,3,11,17,41,41,8,False,34,401015038
14321,40101503812,UT San Antonio,Florida International,12,3,11,17,3,97,PUNT,3,9,44,5,95,3,False,2,401015038
14322,40101503813,Florida International,UT San Antonio,13,3,9,44,47,47,TD,3,7,41,0,0,4,True,47,401015038
14323,40101503814,UT San Antonio,Florida International,14,3,7,41,25,75,INT,3,4,49,42,58,5,False,17,401015038
14324,40101503815,Florida International,UT San Antonio,15,3,4,49,62,62,PUNT,3,3,50,59,59,3,False,3,401015038
14325,40101503816,UT San Antonio,Florida International,16,3,3,50,21,79,PUNT,3,0,6,50,50,8,False,29,401015038
14326,40101503817,Florida International,UT San Antonio,17,3,0,6,80,80,TD,4,11,57,0,0,7,True,80,401015038
14327,40101503818,UT San Antonio,Florida International,18,4,11,57,30,70,DOWNS,4,7,56,86,14,11,False,56,401015038
14328,40101503819,Florida International,UT San Antonio,19,4,7,56,86,86,PUNT,4,3,52,72,72,5,False,14,401015038
14329,40101503820,UT San Antonio,Florida International,20,4,3,52,27,73,INT TD,4,3,42,27,73,1,True,0,401015038
14330,40101503821,Florida International,UT San Antonio,21,4,3,42,0,0,TD,4,3,42,0,0,0,False,0,401015038
14331,40101503822,UT San Antonio,Florida International,22,4,3,42,25,75,INT,4,2,49,34,66,3,False,9,401015038
14332,40101503823,Florida International,UT San Antonio,23,4,2,49,22,22,TD,4,1,15,0,0,3,True,22,401015038
14333,40101503824,UT San Antonio,Florida International,24,4,1,15,25,75,TD,4,0,22,100,0,4,True,75,401015038
14334,40101503825,Florida International,UT San Antonio,25,4,0,22,44,44,END OF GAME,4,0,0,46,46,1,False,-2,401015038
14335,4010150391,Florida Atlantic,Western Kentucky,1,1,15,0,25,75,TD,1,11,45,100,0,8,True,75,401015039
14336,4010150392,Western Kentucky,Florida Atlantic,2,1,11,45,75,75,DOWNS,1,8,34,57,57,7,False,18,401015039
14337,4010150393,Florida Atlantic,Western Kentucky,3,1,8,34,57,43,MISSED FG,1,6,21,89,11,8,False,32,401015039
14338,4010150394,Western Kentucky,Florida Atlantic,4,1,6,21,80,80,PUNT,1,5,20,81,81,3,False,-1,401015039
14339,4010150395,Florida Atlantic,Western Kentucky,5,1,5,20,29,71,FG,1,1,13,88,12,11,True,59,401015039
14340,4010150396,Western Kentucky,Florida Atlantic,6,1,1,13,75,75,TD,2,14,14,0,0,5,True,75,401015039
14341,4010150397,Florida Atlantic,Western Kentucky,7,2,14,14,22,78,INT,2,7,10,82,18,18,False,60,401015039
14342,4010150398,Western Kentucky,Florida Atlantic,8,2,7,10,48,48,INT,2,6,55,48,48,1,False,0,401015039
14343,4010150399,Florida Atlantic,Western Kentucky,9,2,6,55,25,75,PUNT,2,5,2,29,71,3,False,4,401015039
14344,40101503910,Western Kentucky,Florida Atlantic,10,2,5,2,61,61,DOWNS,2,1,43,20,20,9,False,41,401015039
